link_produto,nome_produto,preco_atual,data_raspagem,link_imagem,cor_disponivel
https://chicorei.com/camiseta/camiseta-spirited-away-3225.html?gender=M,Camiseta Spirited Away,39.9,2025-10-02 22:22:21.566632,"https://chicorei.imgix.net/3225/5477ce20-78dc-11ee-bea0-a5f87d719a77.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Marrom Sucupira', 'Preto Noir']"
https://chicorei.com/camiseta/camiseta-lavender-town-15091.html?gender=M,Camiseta Lavender Town,39.9,2025-10-02 22:22:21.568477,"https://chicorei.imgix.net/15091/bfcbbff3-c92b-11eb-ba80-3d8be51c60ab.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Preto Noir']
https://chicorei.com/camiseta/camiseta-pika-das-galaxia-184070.html?gender=M,Camiseta Pika das Galáxias,39.9,2025-10-02 22:22:21.571079,"https://chicorei.imgix.net/184070/ee312963-7289-11ef-99fa-fd28821b6b70.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Preto Noir', 'Branco Cannoli', 'Azul Surf', 'Mescla Gaivota', 'Amarelo Manga', 'Marrom Sucupira', 'Bege Baunilha', 'Vermelho Goiaba', 'Verde Sálvia', 'Amarelo Âmbar']"
https://chicorei.com/camiseta/haku-1820.html?gender=M,Camiseta Haku,39.9,2025-10-02 22:22:21.573865,"https://chicorei.imgix.net/1820/1724fe21-cea8-11eb-abbc-f9a90a58150e.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Branco Cannoli']
https://chicorei.com/camiseta/camiseta-mario--yoshi-183756.html?gender=M,Camiseta Mario & Yoshi,39.9,2025-10-02 22:22:21.688105,"https://chicorei.imgix.net/183756/3157dfb3-74e5-11ef-8bdf-8bae9fd5879e.png?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Vermelho Goiaba', 'Mescla Gaivota', 'Amarelo Manga']"
https://chicorei.com/camiseta/camiseta-my-coffee-friends-190575.html?gender=M,Camiseta My Coffee Friends,39.9,2025-10-02 22:22:21.685056,"https://chicorei.imgix.net/190575/521a0580-a8ec-11ef-90bd-738a394ded9b.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Bege Baunilha']
https://chicorei.com/camiseta/camiseta-popssauros-183754.html?gender=M,Camiseta Popssauros,39.9,2025-10-02 22:22:21.684278,"https://chicorei.imgix.net/183754/60be6071-7289-11ef-ba71-5529c906b397.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Bege Baunilha', 'Branco Cannoli', 'Amarelo Manga']"
https://chicorei.com/camiseta/camiseta-karate-ganja-190573.html?gender=M,Camiseta Karate Ganja,39.9,2025-10-02 22:22:21.678593,"https://chicorei.imgix.net/190573/018a25b2-adc8-11ef-80cc-9595eaa981aa.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Branco Cannoli']
https://chicorei.com/camiseta/camiseta-nepobaby-270280.html?gender=M,Camiseta Nepobaby,39.9,2025-10-02 22:22:21.682476,"https://chicorei.imgix.net/270280/983b6052-6817-11f0-b7bd-853c8312cb6e.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top","['Vermelho Goiaba', 'Preto Noir', 'Marrom Sucupira']"
https://chicorei.com/camiseta/camiseta-yokai-band-190579.html?gender=M,Camiseta Yōkai Band,39.9,2025-10-02 22:22:21.676632,"https://chicorei.imgix.net/190579/91869800-a8ec-11ef-a02c-33afe5aeebb5.jpg?auto=compress,format&q=65&w=550&h=824&fit=crop&crop=top",['Branco Cannoli']
